track_id,artists,album_name,track_name,track_genre,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,kmeans_cluster,hier_cluster,gmm_cluster,dbscan_cluster
6KwkVtXm8OUp2XffN5k7lY,Hillsong Worship,No Other Name,No Other Name,world-music,50,0.369,0.598,-6.984,0.0304,0.00511,0.0,0.176,0.0466,148.014,0,0,0,0
2dp5I5MJ8bQQHDoFaNRFtX,Internal Rot,Grieving Birth,Failed Organum,grindcore,11,0.171,0.997,-3.586,0.118,0.00521,0.801,0.42,0.0294,122.223,0,0,1,0
5avw06usmFkFrPjX8NxC40,Zhoobin Askarieh;Ali Sasha,Noise A Noise 20.4-1,"Save the Trees, Pt. 1",iranian,0,0.173,0.803,-10.071,0.144,0.613,0.00191,0.195,0.0887,75.564,1,0,1,0
75hT0hvlESnDJstem0JgyR,Bryan Adams,All I Want For Christmas Is You,Merry Christmas,rock,0,0.683,0.511,-5.598,0.0279,0.406,0.000197,0.111,0.598,109.991,0,0,0,0
4bY2oZGA5Br3pTE1Jd1IfY,Nogizaka46,バレッタ TypeD,月の大きさ,j-idol,57,0.555,0.941,-3.294,0.0481,0.484,0.0,0.266,0.813,92.487,0,0,0,0
2zQt5C0AIv27RhfJCRZdZ4,BaianaSystem,Duas Cidades,"Jah Jah Revolta, Pt. 2",samba,38,0.776,0.8,-4.704,0.0438,0.00631,0.0731,0.35,0.583,143.989,0,0,0,0
6BctgCJXlgxYeR0ObhLdtR,Joe DeRosa,You Let Me Down,Please Stop Communicating,comedy,21,0.627,0.815,-6.959,0.911,0.785,0.0,0.744,0.532,119.197,0,0,1,1
1LDQFdGTEXOnycDC8CJ5p1,Cane Hill,A Form of Protest,A Form of Protest,metalcore,54,0.395,0.933,-3.6,0.116,8.74e-06,0.0125,0.328,0.194,92.53,0,0,1,0
2DDR5F7bHFJBiX6lPPsT8O,Kano,I'm Ready (Disco Mix - Original 12 Inch Version),I'm Ready - Radio Edit,disco,29,0.914,0.766,-5.662,0.0387,0.192,0.65,0.0747,0.9,126.632,0,0,0,0
2ScU6iEvgb0TIuKiyem9rg,Charlie Brown Jr.,Acústico (Ao Vivo),Proibida Pra Mim (Grazon) - Ao Vivo,r-n-b,48,0.345,0.976,-4.74,0.0487,0.000587,0.0507,0.487,0.818,181.121,0,0,1,0
4ifiz8TRTNdG9ORNWh2P0Q,Kacey Musgraves;Lana Del Rey,Jingle Bell Rock 2022,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,country,0,0.469,0.183,-15.414,0.0407,0.829,0.0,0.71,0.381,139.592,1,0,1,0
5xWxnLpw8ooMW1nJwY2hui,KIRINJI,J-Pop 輕旅行,時間がない,j-pop,0,0.772,0.675,-9.154,0.0366,0.124,0.0121,0.102,0.68,126.033,0,0,0,0
3i2L1PRDEwWcUC03y95UPG,Aníbal Troilo Y Su Orquesta Típica;Roberto Goyeneche,15 Grandes Exitos - Los Discos De Oro De Roberto Goyeneche,Sur,tango,28,0.423,0.401,-11.219,0.0449,0.726,0.0,0.269,0.507,111.213,1,0,0,0
46JGS5Gcz5TilUnqGGHnnl,Imaginasamba;Jojo Maronttinni,Antes e depois (Ao vivo),Pega pega (Participação especial de Jojo Maronttinni) - Ao vivo,pagode,50,0.511,0.751,-4.731,0.0924,0.844,0.0,0.962,0.732,158.1,0,0,1,0
5pq4v03P5PxMcnCagg4S3Z,Boyce Avenue,"Cover Sessions, Vol. 4",In Case You Didn’t Know,acoustic,60,0.633,0.299,-7.798,0.0353,0.833,0.0,0.109,0.341,147.549,1,1,0,0
08HJeHs0U9iSbDWX0sWIem,Maria Bethânia,Noturno,O Sopro do Fole,r-n-b,41,0.524,0.0856,-17.766,0.0999,0.739,0.0,0.0919,0.316,93.672,1,1,1,0
198v7BbjXn2GTeI4NkBN39,Mariene De Castro,Santo De Casa,Vi Mamãe Oxum Na Cachoeira - Live,samba,39,0.59,0.697,-8.046,0.0323,0.75,0.000163,0.621,0.815,126.911,0,0,1,0
6bl8PFDgYxbDZHk0LRQhhz,Jebroer;Paul Elstak;The BeatKrusher,Me Gabber (DJ Paul Elstak & The BeatKrusher Remix),Me Gabber - DJ Paul Elstak & The BeatKrusher Remix,hardstyle,22,0.553,0.928,-3.544,0.13,0.0251,0.0,0.171,0.305,160.044,0,0,1,0
0b11D9D0hMOYCIMN3OKreM,Witt Lowry;Ava Max,Into Your Arms (feat. Ava Max),Into Your Arms (feat. Ava Max),pop,77,0.504,0.788,-4.113,0.215,0.0134,0.0,0.363,0.228,170.039,0,0,1,0
2pXg8l1JGZ3hCyFqxirV13,Lalo Ebratt;Trapical,Frescura y Perreo,Mocca,reggae,0,0.786,0.696,-5.343,0.352,0.183,0.0,0.123,0.591,97.956,0,0,1,0
3dJj6o9o1fRgrojWjailuz,Linkin Park,One More Light,Nobody Can Save Me,metal,61,0.645,0.688,-4.749,0.0341,0.0107,0.0,0.186,0.433,139.957,0,0,0,0
0rWLHJnMyJaMFA8x9l8AT0,Billie Eilish,Halloween Party 2022,all the good girls go to hell,electro,3,0.854,0.446,-8.957,0.198,0.313,0.215,0.156,0.57,92.545,0,0,1,0
36kDrsAPQ62bI32WPrlJew,ZITH;Misanthropix,Machine Spirit,Machine Spirit,club,17,0.643,0.956,-3.385,0.051,0.000458,0.78,0.228,0.515,104.99,0,0,0,0
0lASm1brReAnrOirk2f0a2,Christopher Zondaflex Tyler,Mr Chris Hip Hop Dance Moves,Bear Crawl,kids,13,0.738,0.499,-14.344,0.546,0.21,0.0,0.569,0.806,88.916,0,0,1,-1
1WhGXbgwPOTDPB4ZsJBIDG,Chip E.,Hotter Than House,Time To Jack,chicago-house,7,0.813,0.863,-8.587,0.0563,0.00024,0.89,0.109,0.717,122.93,0,0,0,0
2xIbHYxBs1fiR4NkPc8z33,Tony Matterhorn,Jamaican Style,Ready fi di party,j-dance,19,0.911,0.616,-12.46,0.272,0.569,0.00795,0.154,0.467,120.999,0,0,1,0
6NPTmYw2yMu0Oz0IJkoxeR,Los Tukas,10 de Colección,Mis Noches Te Recuerdan,rock-n-roll,33,0.643,0.574,-5.427,0.035,0.583,0.0,0.0492,0.845,108.002,0,0,0,0
0Xs1Yh44j5cIgUQtOCBcQj,Apache Indian,Time For Change,Sometimes Love,dancehall,3,0.652,0.806,-3.875,0.0797,0.133,0.0,0.281,0.88,107.883,0,0,1,0
5TcuM4sQFHK747kwB2q1Qy,Annaleigh Ashford,Sunday in the Park with George (2017 Broadway Cast Recording),Everybody Loves Louis,show-tunes,22,0.521,0.189,-10.74,0.0478,0.892,0.0,0.0824,0.301,117.833,1,1,0,0
4bh9zPGpEX1yl9Do6rkhHr,Shinedown,Rock Brandneu,Planet Zero,alternative,0,0.416,0.964,-2.967,0.112,2.35e-05,0.000875,0.473,0.212,157.925,0,0,1,0
7vk7u7kaqw5A6BtkfoxQf3,Yiruma,The Best - Reminiscent 10th Anniversary,Do You?,new-age,46,0.435,0.101,-18.753,0.0487,0.992,0.926,0.101,0.222,107.449,1,1,0,0
72jbDTw1piOOj770jWNeaG,The Chainsmokers,Memories...Do Not Open,Paris,dance,74,0.653,0.658,-6.428,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,0,0,0,0
4zD9RBG51Lj8bnQwolLnyu,OneRepublic,Human (Deluxe),Wild Life,piano,45,0.479,0.762,-7.86,0.0378,0.00711,0.011,0.0965,0.0519,115.956,0,0,0,0
7MiYNyj5si5yiWyeSkgzqB,Joachim Pastor;Worakls,"Hungry Music Remix, Vol. 1",Joda - Worakls Remix,techno,50,0.757,0.678,-11.225,0.0323,0.0399,0.849,0.129,0.13,115.01,0,0,0,0
6suU440DRXoxpLNKWf46XJ,Realidade Cruel,Dos Barracos de Maderite aos Palácios de Platina,O Resgate,funk,48,0.553,0.732,-5.206,0.262,0.622,0.0,0.163,0.436,152.59,0,0,1,0
5ueWiIP0QQcAqbMutT1Ng0,Balbi El Chamako,La Vida Es Bela,La Mala,reggaeton,39,0.628,0.787,-6.809,0.139,0.0059,0.0,0.124,0.377,172.045,0,0,1,0
49Z1VQivkHoY5KGdUwMv5i,RL Grime;Hex Cougar;fknsyd,Sable Valley Summer Vol. 3,Silo (feat. fknsyd),electronic,55,0.472,0.933,-4.985,0.195,0.0632,0.367,0.0678,0.326,159.949,0,0,1,0
1WDDMw1k46OS4W2IGxmLzj,Feid,FELIZ CUMPLEAÑOS,Ferxxo 100,pop,4,0.705,0.562,-3.378,0.0674,0.257,0.0,0.137,0.569,163.893,0,0,0,0
5tmcGYwmon8ufw9igbwwKk,Blake Rules;Netherfriends,Kids Trap 2,Making Music,kids,13,0.782,0.342,-15.203,0.0721,0.299,0.0237,0.103,0.345,115.018,1,0,0,0
5Iqh58mh9xHzOkXNorHibJ,Estela Nuñez,Estela Nuñez... Sus Primeras E Inolvidables Grabaciones,Ruega por Mí (Prega Per Me),rock-n-roll,30,0.494,0.404,-10.108,0.0299,0.847,0.0,0.122,0.386,96.387,1,1,0,0
5llrpUzc5oZ4U2RLruiDeI,Yonder Mountain String Band,"Mountain Tracks, Vol. 3",Holding,bluegrass,33,0.472,0.702,-8.965,0.0981,0.82,4.25e-05,0.362,0.351,104.656,1,1,1,0
