Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,Cluster_KMeans_Statistical,Cluster_KMeans_Business,Cluster_DBSCAN,Cluster_Label
104750,4JlKk8J0Q7IdNchS0iJRSj,Polock,Rising Up,Everlasting,43,185477,False,0.646,0.83,2,-5.72,1,0.0317,0.00431,0.00116,0.108,0.664,112.0,4,spanish,0,5,0,High Energy Dance / Upbeat
64290,6zzLSQGQtCjbnWV79Dppdy,Nat King Cole,Christmas Day Chill,The Christmas Song (Merry Christmas To You) - Remastered,0,188266,False,0.294,0.253,1,-13.146,1,0.0349,0.884,6.3e-06,0.132,0.234,85.256,4,jazz,1,3,0,Acoustic
61336,3qVLCK6wH839yFlfDv4x0q,Flower,THIS IS Flower THIS IS BEST,SAKURAリグレット(version2016),24,310600,False,0.671,0.89,4,-3.711,0,0.0417,0.143,0.0,0.107,0.579,115.002,4,j-idol,0,5,0,High Energy Dance / Upbeat
16040,7w9YfF8mfQftxhm3JKcLlv,Johann Sebastian Bach;Berliner Philharmoniker;Herbert von Karajan,Classical Christmas,"Brandenburg Concerto No. 3 in G, BWV 1048: 1. (Allegro)",0,391560,False,0.513,0.296,7,-15.81,1,0.0496,0.99,0.803,0.158,0.804,84.367,4,classical,1,4,0,Low Energy / Acoustic / Instrumental
3744,0SLjeqwh5iy8DZcaGNIaHJ,Faith No More,Timeless Rock Hits,King for a Day,1,395093,False,0.421,0.871,11,-9.193,1,0.0351,0.00608,0.411,0.19,0.384,102.383,4,alternative,0,0,0,High Energy / Instrumental
49525,54SdPrka36t9zUuzIgAHZX,Radical Redemption,Command & Conquer,In Your Face,22,125052,False,0.761,0.935,1,-3.704,0,0.138,0.012,0.0438,0.114,0.492,94.997,4,hardstyle,0,2,0,High Energy Dance / Upbeat
13577,1WmpIEcJwUjubtVOnAMcQI,Ron Trent,Humans,Blazzin - Original Mix,9,519024,False,0.645,0.689,10,-11.916,0,0.0335,0.0148,0.858,0.0943,0.897,123.011,4,chicago-house,0,0,0,High Energy / Instrumental
42140,30X1MZGXHUXxLrGBPtL1kC,Autopsy,Mental Funeral,Dark Crusade,18,234173,False,0.285,0.989,7,-7.326,1,0.12,0.24,0.787,0.39,0.039,112.138,4,grindcore,0,0,0,High Energy / Instrumental
75490,4zenRe44xiB5rZQa2eBMMP,Michael Maxwell,Pachelbel: Forever by the Sea,The Beckoning Sea,23,615513,False,0.167,0.406,2,-22.063,1,0.0801,0.837,0.862,0.39,0.415,111.701,4,new-age,1,4,-1,Low Energy / Acoustic / Instrumental
99263,3pCt2wRdBDa2kCisIdHWgF,Pamungkas,Flying Solo,To the Bone,78,344571,False,0.668,0.727,7,-6.55,0,0.027,0.514,1.9e-05,0.1,0.939,139.991,4,singer-songwriter,0,5,0,High Energy Dance / Upbeat
4189,5cWSpmTfItDuppACMrE3I9,Message To Bears,Maps,You Are a Memory,58,221746,False,0.133,0.339,9,-10.315,1,0.0339,0.854,0.0422,0.101,0.0291,144.726,5,ambient,1,3,-1,Acoustic
83851,0YhWnmiXMwmSVQU9KL1cdf,DVBBS;Space Primates;GASHI,SLEEP,Say It (feat. GASHI),46,192755,False,0.698,0.846,4,-4.245,0,0.0465,0.041,0.0,0.166,0.11,127.012,4,progressive-house,0,1,0,High Energy / Fast Tempo
44817,1Yuim9eHBfG8YUJII28XDF,Nickelback,The Long Road,Figured You Out,61,228480,False,0.544,0.867,10,-5.527,1,0.0517,2.63e-05,0.0165,0.266,0.726,93.925,4,grunge,0,5,0,High Energy Dance / Upbeat
100425,0f8ddm8JivoRapx8ScYy0L,Los Caligaris,Salva,Basural,38,235962,False,0.591,0.828,0,-5.694,1,0.0294,0.0515,0.0,0.114,0.829,138.002,4,ska,0,5,0,High Energy Dance / Upbeat
57312,3QCL4FJOSqLrFDJmcdNSbA,Ritviz;Nucleya,Baaraat,Sathi,52,216219,False,0.585,0.625,6,-5.13,0,0.0765,0.0444,0.0,0.0376,0.666,164.066,4,indie,0,5,0,High Energy Dance / Upbeat
108945,6anxC8StMb3fwYUWv03A5k,Julio Sosa;Leopoldo Federico y su Orquesta,Esenciales,La Cumparsita (with Leopoldo Federico y Su Orquesta),15,183426,False,0.48,0.598,7,-8.329,0,0.0725,0.82,0.000149,0.168,0.683,114.317,4,tango,1,3,0,Acoustic
70644,5Vno9JgXecYMq0HeCiuDos,楊培安,午夜兩點半的我,我相信,52,247466,False,0.668,0.768,0,-4.652,0,0.0266,0.0437,0.0,0.0981,0.542,112.04,4,mandopop,0,5,0,High Energy Dance / Upbeat
42316,3WB1sxhJeOs0zcmCOWom5a,Milking the Goatmachine,Back from the Goats,Bingo Bongo - I Don't Want to Leave the Congo,15,101425,False,0.604,0.994,4,-4.312,0,0.319,0.0188,0.00472,0.379,0.103,130.014,4,grindcore,0,1,0,High Energy / Fast Tempo
94588,3vZhtkZTHAcfvQl3X9XFkA,Rarin;Tommy Ice,Mercedes,Mercedes,51,145442,True,0.863,0.536,8,-7.481,1,0.0814,0.0287,0.0,0.0865,0.682,132.959,4,sad,0,2,0,High Energy Dance / Upbeat
19998,7plI8XMJN3vIlPpSQAeIuR,Upchurch,Creeker,Blow My Smoke,41,202866,True,0.449,0.848,4,-5.584,0,0.0669,0.0152,0.0,0.882,0.643,150.039,4,country,0,1,0,High Energy / Fast Tempo
64606,1GZj9r3vJ91roOZ0oYJrW5,Peggy Lee,Weihnachtssongs,The Christmas Waltz,0,173106,False,0.25,0.168,1,-16.789,0,0.0329,0.822,0.000135,0.136,0.141,107.269,3,jazz,1,3,0,Acoustic
62650,6DaKMsQDmHMJbKYyU7AUFA,Hikaru Utada,BADモード,One Last Kiss,58,249904,False,0.597,0.542,8,-10.703,0,0.0563,0.698,0.00264,0.0986,0.397,111.985,4,j-pop,1,3,0,Acoustic
58245,31mGSBm8fHF5mVV7l1oSfJ,Powerman 5000,Tonight The Stars Revolt,Good Times Roll,28,239258,False,0.471,0.971,10,-5.608,0,0.218,0.0036,0.594,0.114,0.0673,130.883,4,industrial,0,0,0,High Energy / Instrumental
73555,0QN5omDLKQj8Mdg3cajMuN,Worakls,Nocturne,Nocturne,44,548571,False,0.466,0.504,11,-8.936,0,0.053,0.000255,0.897,0.0936,0.3,125.999,4,minimal-techno,1,0,0,High Energy / Instrumental
22534,4ToRjW6d1RCptxXmdtl28a,Winds of Plague,Against the World,Drop the Match,22,214720,False,0.215,0.894,6,-5.774,0,0.125,3.63e-05,0.0713,0.276,0.35,199.794,4,death-metal,0,1,0,High Energy / Fast Tempo
89435,6oNU9YKF6xVDQvOB2TrYV8,Danny Ocean,Tropical Vibes,Me rehúso,0,205714,False,0.743,0.804,1,-6.327,1,0.0676,0.0231,0.0,0.0494,0.425,104.822,4,reggaeton,0,5,0,High Energy Dance / Upbeat
61660,1M03pPTmDxCe6PuYTOWY9m,Akina Nakamori,コンプリート・シングル・コレクションズ〜ファースト・テン・イヤーズ<ライノ・プレミアム・エディション>,少女A,20,213813,False,0.588,0.79,0,-5.651,1,0.0449,0.00518,7.9e-05,0.0374,0.655,145.916,4,j-idol,0,5,0,High Energy Dance / Upbeat
21209,5X5YDBavdU5RjYMlxqwlCm,Wiley;Stefflon Don;Sean Paul;Idris Elba,Boasty (feat. Idris Elba),Boasty (feat. Idris Elba),28,177185,True,0.887,0.765,2,-5.207,1,0.0669,0.00915,0.000872,0.0907,0.456,102.958,4,dancehall,0,5,0,High Energy Dance / Upbeat
59693,79RqP2xmjoIRQ8nqNCG3nr,Integral Rigor,Alast (Instrumental Version),The Devil Inside - Instrumental Version,0,279327,False,0.179,0.939,7,-4.621,1,0.216,0.000118,0.84,0.122,0.116,194.522,3,iranian,0,0,-1,High Energy / Instrumental
23541,1r5O1Q66t0THBMKChJLyOS,Leftwing : Kody;Paul Woolford,I Feel It (Paul Woolford Remix),I Feel It - Paul Woolford Extended Remix,30,369189,False,0.673,0.885,6,-7.007,1,0.0327,0.000975,0.807,0.0845,0.549,125.984,4,deep-house,0,0,0,High Energy / Instrumental
60480,6M9aKmafWys7ILg1qXPTGa,Jah Vinci,Imac Riddim,High in Yah,22,193608,True,0.575,0.839,5,-4.435,0,0.353,0.0157,0.0,0.313,0.8,129.815,5,j-dance,0,1,0,High Energy / Fast Tempo
83938,0DiTeEH38dwM9Vstp4R5dj,Mat Zo;Chuck D,Journey To ABGT500 pt.2,Pyramid Scheme (ABGT499D3),34,219375,False,0.626,0.834,10,-7.969,0,0.0581,0.000515,0.62,0.452,0.511,128.04,4,progressive-house,0,0,0,High Energy / Instrumental
33084,2DLrgv7HhJanCuD8L9uJLR,RADWIMPS,Your Name.,Zenzenzense - movie ver.,64,285880,False,0.321,0.906,11,-3.967,1,0.141,0.000439,0.0,0.0862,0.641,189.776,4,emo,0,1,0,High Energy / Fast Tempo
95492,3vQkAiLj8yY6jNDG9F9cVL,Joe Arroyo,20 Exitos Originales,La Tortuga,30,307666,False,0.564,0.729,0,-5.396,1,0.104,0.552,4.77e-05,0.206,0.964,130.168,4,salsa,0,2,0,High Energy Dance / Upbeat
46901,0O80ZB3Rsni14LhvAPUmkv,S3RL;Mixie Moon;Mc Offside,Friendzoned (feat. Mixie Moon & MC Offside),Friendzoned (feat. Mixie Moon & MC Offside),43,248167,False,0.546,0.99,7,-1.706,1,0.0598,0.000602,0.0277,0.327,0.319,175.043,4,happy,0,1,0,High Energy / Fast Tempo
72999,1kDgTJ9u8DgIYHBS5BEc9V,For Today,Immortal,Open Eyes,24,246480,False,0.406,0.953,1,-3.944,1,0.0787,0.00183,0.0,0.178,0.269,91.95,4,metalcore,0,1,0,High Energy / Fast Tempo
