track_id,track_name,artists,album_name,track_genre,popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster_k5,cluster_label,cluster_k2,cluster_dbscan
4JlKk8J0Q7IdNchS0iJRSj,Everlasting,Polock,Rising Up,spanish,43,185477,0.646,0.83,-5.72,0.0317,0.00431,0.00116,0.108,0.664,112.0,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
6zzLSQGQtCjbnWV79Dppdy,The Christmas Song (Merry Christmas To You) - Remastered,Nat King Cole,Christmas Day Chill,jazz,0,188266,0.294,0.253,-13.146,0.0349,0.884,6.3e-06,0.132,0.234,85.256,1,Acoustic / Slow,1,0
3qVLCK6wH839yFlfDv4x0q,SAKURAリグレット(version2016),Flower,THIS IS Flower THIS IS BEST,j-idol,24,310600,0.671,0.89,-3.711,0.0417,0.143,0.0,0.107,0.579,115.002,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
7w9YfF8mfQftxhm3JKcLlv,"Brandenburg Concerto No. 3 in G, BWV 1048: 1. (Allegro)",Johann Sebastian Bach;Berliner Philharmoniker;Herbert von Karajan,Classical Christmas,classical,0,391560,0.513,0.296,-15.81,0.0496,0.99,0.803,0.158,0.804,84.367,3,Calm / Acoustic / Instrumental / Melancholic / Slow,1,0
0SLjeqwh5iy8DZcaGNIaHJ,King for a Day,Faith No More,Timeless Rock Hits,alternative,1,395093,0.421,0.871,-9.193,0.0351,0.00608,0.411,0.19,0.384,102.383,2,High-Energy / Instrumental / Melancholic / Fast,0,-1
54SdPrka36t9zUuzIgAHZX,In Your Face,Radical Redemption,Command & Conquer,hardstyle,22,125052,0.761,0.935,-3.704,0.138,0.012,0.0438,0.114,0.492,94.997,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
1WmpIEcJwUjubtVOnAMcQI,Blazzin - Original Mix,Ron Trent,Humans,chicago-house,9,519024,0.645,0.689,-11.916,0.0335,0.0148,0.858,0.0943,0.897,123.011,2,High-Energy / Instrumental / Melancholic / Fast,0,-1
30X1MZGXHUXxLrGBPtL1kC,Dark Crusade,Autopsy,Mental Funeral,grindcore,18,234173,0.285,0.989,-7.326,0.12,0.24,0.787,0.39,0.039,112.138,2,High-Energy / Instrumental / Melancholic / Fast,0,-1
4zenRe44xiB5rZQa2eBMMP,The Beckoning Sea,Michael Maxwell,Pachelbel: Forever by the Sea,new-age,23,615513,0.167,0.406,-22.063,0.0801,0.837,0.862,0.39,0.415,111.701,3,Calm / Acoustic / Instrumental / Melancholic / Slow,1,-1
3pCt2wRdBDa2kCisIdHWgF,To the Bone,Pamungkas,Flying Solo,singer-songwriter,78,344571,0.668,0.727,-6.55,0.027,0.514,1.9e-05,0.1,0.939,139.991,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
5cWSpmTfItDuppACMrE3I9,You Are a Memory,Message To Bears,Maps,ambient,58,221746,0.133,0.339,-10.315,0.0339,0.854,0.0422,0.101,0.0291,144.726,1,Acoustic / Slow,1,-1
0YhWnmiXMwmSVQU9KL1cdf,Say It (feat. GASHI),DVBBS;Space Primates;GASHI,SLEEP,progressive-house,46,192755,0.698,0.846,-4.245,0.0465,0.041,0.0,0.166,0.11,127.012,0,High-Energy / Fast / Live,0,0
1Yuim9eHBfG8YUJII28XDF,Figured You Out,Nickelback,The Long Road,grunge,61,228480,0.544,0.867,-5.527,0.0517,2.63e-05,0.0165,0.266,0.726,93.925,0,High-Energy / Fast / Live,0,0
0f8ddm8JivoRapx8ScYy0L,Basural,Los Caligaris,Salva,ska,38,235962,0.591,0.828,-5.694,0.0294,0.0515,0.0,0.114,0.829,138.002,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
3QCL4FJOSqLrFDJmcdNSbA,Sathi,Ritviz;Nucleya,Baaraat,indie,52,216219,0.585,0.625,-5.13,0.0765,0.0444,0.0,0.0376,0.666,164.066,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
6anxC8StMb3fwYUWv03A5k,La Cumparsita (with Leopoldo Federico y Su Orquesta),Julio Sosa;Leopoldo Federico y su Orquesta,Esenciales,tango,15,183426,0.48,0.598,-8.329,0.0725,0.82,0.000149,0.168,0.683,114.317,1,Acoustic / Slow,1,0
5Vno9JgXecYMq0HeCiuDos,我相信,楊培安,午夜兩點半的我,mandopop,52,247466,0.668,0.768,-4.652,0.0266,0.0437,0.0,0.0981,0.542,112.04,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
3WB1sxhJeOs0zcmCOWom5a,Bingo Bongo - I Don't Want to Leave the Congo,Milking the Goatmachine,Back from the Goats,grindcore,15,101425,0.604,0.994,-4.312,0.319,0.0188,0.00472,0.379,0.103,130.014,0,High-Energy / Fast / Live,0,0
3vZhtkZTHAcfvQl3X9XFkA,Mercedes,Rarin;Tommy Ice,Mercedes,sad,51,145442,0.863,0.536,-7.481,0.0814,0.0287,0.0,0.0865,0.682,132.959,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
7plI8XMJN3vIlPpSQAeIuR,Blow My Smoke,Upchurch,Creeker,country,41,202866,0.449,0.848,-5.584,0.0669,0.0152,0.0,0.882,0.643,150.039,0,High-Energy / Fast / Live,0,0
1GZj9r3vJ91roOZ0oYJrW5,The Christmas Waltz,Peggy Lee,Weihnachtssongs,jazz,0,173106,0.25,0.168,-16.789,0.0329,0.822,0.000135,0.136,0.141,107.269,1,Acoustic / Slow,1,0
6DaKMsQDmHMJbKYyU7AUFA,One Last Kiss,Hikaru Utada,BADモード,j-pop,58,249904,0.597,0.542,-10.703,0.0563,0.698,0.00264,0.0986,0.397,111.985,1,Acoustic / Slow,1,0
31mGSBm8fHF5mVV7l1oSfJ,Good Times Roll,Powerman 5000,Tonight The Stars Revolt,industrial,28,239258,0.471,0.971,-5.608,0.218,0.0036,0.594,0.114,0.0673,130.883,2,High-Energy / Instrumental / Melancholic / Fast,0,-1
0QN5omDLKQj8Mdg3cajMuN,Nocturne,Worakls,Nocturne,minimal-techno,44,548571,0.466,0.504,-8.936,0.053,0.000255,0.897,0.0936,0.3,125.999,2,High-Energy / Instrumental / Melancholic / Fast,1,3
4ToRjW6d1RCptxXmdtl28a,Drop the Match,Winds of Plague,Against the World,death-metal,22,214720,0.215,0.894,-5.774,0.125,3.63e-05,0.0713,0.276,0.35,199.794,0,High-Energy / Fast / Live,0,0
6oNU9YKF6xVDQvOB2TrYV8,Me rehúso,Danny Ocean,Tropical Vibes,reggaeton,0,205714,0.743,0.804,-6.327,0.0676,0.0231,0.0,0.0494,0.425,104.822,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
1M03pPTmDxCe6PuYTOWY9m,少女A,Akina Nakamori,コンプリート・シングル・コレクションズ〜ファースト・テン・イヤーズ<ライノ・プレミアム・エディション>,j-idol,20,213813,0.588,0.79,-5.651,0.0449,0.00518,7.9e-05,0.0374,0.655,145.916,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
5X5YDBavdU5RjYMlxqwlCm,Boasty (feat. Idris Elba),Wiley;Stefflon Don;Sean Paul;Idris Elba,Boasty (feat. Idris Elba),dancehall,28,177185,0.887,0.765,-5.207,0.0669,0.00915,0.000872,0.0907,0.456,102.958,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
79RqP2xmjoIRQ8nqNCG3nr,The Devil Inside - Instrumental Version,Integral Rigor,Alast (Instrumental Version),iranian,0,279327,0.179,0.939,-4.621,0.216,0.000118,0.84,0.122,0.116,194.522,2,High-Energy / Instrumental / Melancholic / Fast,0,-1
1r5O1Q66t0THBMKChJLyOS,I Feel It - Paul Woolford Extended Remix,Leftwing : Kody;Paul Woolford,I Feel It (Paul Woolford Remix),deep-house,30,369189,0.673,0.885,-7.007,0.0327,0.000975,0.807,0.0845,0.549,125.984,2,High-Energy / Instrumental / Melancholic / Fast,0,2
6M9aKmafWys7ILg1qXPTGa,High in Yah,Jah Vinci,Imac Riddim,j-dance,22,193608,0.575,0.839,-4.435,0.353,0.0157,0.0,0.313,0.8,129.815,0,High-Energy / Fast / Live,0,0
0DiTeEH38dwM9Vstp4R5dj,Pyramid Scheme (ABGT499D3),Mat Zo;Chuck D,Journey To ABGT500 pt.2,progressive-house,34,219375,0.626,0.834,-7.969,0.0581,0.000515,0.62,0.452,0.511,128.04,2,High-Energy / Instrumental / Melancholic / Fast,0,0
2DLrgv7HhJanCuD8L9uJLR,Zenzenzense - movie ver.,RADWIMPS,Your Name.,emo,64,285880,0.321,0.906,-3.967,0.141,0.000439,0.0,0.0862,0.641,189.776,0,High-Energy / Fast / Live,0,0
3vQkAiLj8yY6jNDG9F9cVL,La Tortuga,Joe Arroyo,20 Exitos Originales,salsa,30,307666,0.564,0.729,-5.396,0.104,0.552,4.77e-05,0.206,0.964,130.168,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
0O80ZB3Rsni14LhvAPUmkv,Friendzoned (feat. Mixie Moon & MC Offside),S3RL;Mixie Moon;Mc Offside,Friendzoned (feat. Mixie Moon & MC Offside),happy,43,248167,0.546,0.99,-1.706,0.0598,0.000602,0.0277,0.327,0.319,175.043,0,High-Energy / Fast / Live,0,-1
1kDgTJ9u8DgIYHBS5BEc9V,Open Eyes,For Today,Immortal,metalcore,24,246480,0.406,0.953,-3.944,0.0787,0.00183,0.0,0.178,0.269,91.95,0,High-Energy / Fast / Live,0,0
2HwaW41CoQrjA5wZIUbXf2,Lunatic - Original Mix - Slow Break,The Prophet,The Hardcore Archive Part 3 (1997),happy,0,195765,0.789,0.704,-5.219,0.16,0.00158,0.326,0.515,0.149,95.008,2,High-Energy / Instrumental / Melancholic / Fast,0,0
2og56jb9ZaAh1cVN7BENAq,Island,Coheed and Cambria,The Color Before The Sun,emo,35,301906,0.496,0.991,-2.752,0.111,0.0106,0.000251,0.373,0.433,135.91,0,High-Energy / Fast / Live,0,0
6MjDnmBgbCu2UfDK0DRczh,I Wrote You a Letter,Fudasca;Thomas Reid,Youth,sad,49,160020,0.462,0.217,-15.251,0.0422,0.133,0.0401,0.129,0.233,89.868,1,Acoustic / Slow,1,0
04wmRKlU8lSjmYql1mt052,Keeping Everything Inside,Sophie Pecora,Keeping Everything Inside,singer-songwriter,61,178105,0.561,0.522,-7.699,0.108,0.613,0.0,0.103,0.43,94.321,1,Acoustic / Slow,1,0
2eRV0Zen3OvAb2phNk7IIU,I'll Be Fine,Koe Wetzel,Noise Complaint,country,46,240846,0.663,0.644,-8.92,0.0375,0.0721,0.0,0.0736,0.372,123.968,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
0cVrLxeQjiAcftuGzp32qY,Newyork Nagaram,A.R. Rahman,Sillunu Oru Kadhal (Original Motion Picture Soundtrack ),pop,65,378020,0.652,0.732,-8.587,0.0275,0.203,0.000366,0.0739,0.577,127.043,4,High-Energy / Dance-Party / Vocal-Heavy,0,0
3kdlVcMVsSkbsUy8eQcBjI,Let Go,Ark Patrol;Veronika Redd,Let Go,soul,71,248056,0.47,0.436,-10.228,0.0351,0.67,0.263,0.294,0.0389,81.972,3,Calm / Acoustic / Instrumental / Melancholic / Slow,1,-1
6fz1H1xvH7uUycVKUVUHwb,One Last Breath,Creed,Fishing Music,alternative,1,239373,0.38,0.72,-5.766,0.0356,0.00899,0.00147,0.221,0.172,129.982,0,High-Energy / Fast / Live,0,-1
